"﻿ID"	"Title"	"Content"	"Image URL"	"Type"	"Status"	"City"	"County / State"	"fave_property_size"	"fave_property_size_prefix"	"fave_property_year"	"fave_property_price"	"fave_property_map"	"fave_property_map_address"	"fave_property_location"	"fave_property_country"	"fave_additional_features_enable"	"additional_features"	"fave_property_address"	"fave_property_zip"	"houzez_geolocation_long"	"houzez_geolocation_lat"	"Status"	"Author"	"Slug"
1	"Measure-x Commercial Building"	"Light Industrial (10% improved office space; Machine Shop)
"	"http://listed420.com/update/wp-content/uploads/2018/01/default_image.jpg"	"LIGHT INDUSTRIAL"	"For Sale"	"Costa Mesa"	"California"	63000	"Sq Ft"	1976	4410000	1	"1545 MacArthur Blvd, Costa Mesa, CA 92626, USA"	"33.701196,-117.92156,14"	"US"	"enable"	"a:18:{s:11:""PUnitNumber"";s:0:"""";s:9:""PUnitType"";s:0:"""";s:12:""OwnerName(s)"";s:20:""1545 W Macarthur Llc"";s:7:""LotArea"";s:4:""1.79"";s:12:""LotAreaUnits"";s:2:""AC"";s:10:""NumStories"";s:1:""1"";s:8:""NumUnits"";s:1:""2"";s:5:""Tract"";s:4:""1083"";s:9:""LotNumber"";s:1:""1"";s:9:""TaxAmount"";s:8:""56670.98"";s:15:""TaxRateCodeArea"";s:6:""15-052"";s:7:""TaxYear"";s:4:""2017"";s:18:""TotalAssessedValue"";s:7:""4477252"";s:12:""AssessedYear"";s:4:""2016"";s:19:""AnnivRecordingMonth"";s:2:""12"";s:24:""AssessedImprovementValue"";s:7:""1365511"";s:22:""AssessedImprovePercent"";s:12:""0.3049886404"";s:17:""ASSESSEDLandValue"";s:7:""3111741"";}"	"1545 Macarthur Blvd
"	92626	-117.921556	33.701196	"publish"	1	"Measure-x-ommercial-building1"
2	"Measure-x Commercial Building"	"Light Industrial (10% improved office space; Machine Shop)"	"http://listed420.com/update/wp-content/uploads/2018/01/default_image.jpg"	"LIGHT INDUSTRIAL"	"For Sale"	"Costa Mesa"	"California"	48000	"Sq Ft"	1973	1619000	1	"1545 MacArthur Blvd, Costa Mesa, CA 92626, USA"	"33.701191,-117.92205,14"	"US"	"enable"	"a:18:{s:11:""PUnitNumber"";s:0:"""";s:9:""PUnitType"";s:0:"""";s:12:""OwnerName(s)"";s:21:""1561 W Mac Arthur Llc"";s:7:""LotArea"";s:4:""1.51"";s:12:""LotAreaUnits"";s:2:""AC"";s:10:""NumStories"";s:1:""1"";s:8:""NumUnits"";s:1:""2"";s:5:""Tract"";s:4:""1083"";s:9:""LotNumber"";s:1:""1"";s:9:""TaxAmount"";s:7:""29125.4"";s:15:""TaxRateCodeArea"";s:6:""15-052"";s:7:""TaxYear"";s:4:""2017"";s:18:""TotalAssessedValue"";s:7:""2102034"";s:12:""AssessedYear"";s:4:""2016"";s:19:""AnnivRecordingMonth"";s:1:""5"";s:24:""AssessedImprovementValue"";s:6:""934810"";s:22:""AssessedImprovePercent"";s:11:""0.444716879"";s:17:""ASSESSEDLandValue"";s:7:""1167224"";}"	"1561 Macarthur Blvd"	92626	-117.922049	33.701191	"publish"	1	"Measure-x-ommercial-building2"
3	"Measure-x Commercial Building"	"Light Industrial (10% improved office space; Machine Shop)"	"http://listed420.com/update/wp-content/uploads/2018/01/default_image.jpg"	"LIGHT INDUSTRIAL"	"For Sale"	"Costa Mesa"	"California"	18758	"Sq Ft"	1981	7120000	1	"1690 Scenic Ave, Costa Mesa, CA 92626, USA"	"33.699693,-117.92869,14"	"US"	"enable"	"a:18:{s:11:""PUnitNumber"";s:0:"""";s:9:""PUnitType"";s:0:"""";s:12:""OwnerName(s)"";s:19:""1690 Scenic Ave Llc"";s:7:""LotArea"";s:3:""1.5"";s:12:""LotAreaUnits"";s:2:""AC"";s:10:""NumStories"";s:1:""1"";s:8:""NumUnits"";s:1:""0"";s:5:""Tract"";s:0:"""";s:9:""LotNumber"";s:0:"""";s:9:""TaxAmount"";s:8:""70568.92"";s:15:""TaxRateCodeArea"";s:6:""15-008"";s:7:""TaxYear"";s:4:""2017"";s:18:""TotalAssessedValue"";s:7:""5843971"";s:12:""AssessedYear"";s:4:""2016"";s:19:""AnnivRecordingMonth"";s:2:""12"";s:24:""AssessedImprovementValue"";s:7:""1781550"";s:22:""AssessedImprovePercent"";s:12:""0.3048526422"";s:17:""ASSESSEDLandValue"";s:7:""4062421"";}"	"3505 Cadillac Ave"	92626	-117.928686	33.699693	"publish"	1	"Measure-x-ommercial-building3"
4	"Measure-x Commercial Building"	"Industrial (General)"	"http://listed420.com/update/wp-content/uploads/2018/01/default_image.jpg"	"INDUSTRIAL"	"For Sale"	"Costa Mesa"	"California"	0	"Sq Ft"		0	1	"3505 Cadillac Ave, Costa Mesa, CA 92626, USA"	"33.695154,-117.93208,14"	"US"	"enable"	"a:18:{s:11:""PUnitNumber"";s:4:""O105"";s:9:""PUnitType"";s:0:"""";s:12:""OwnerName(s)"";s:19:""3505 Cadillac 1 Llc"";s:7:""LotArea"";s:4:""5125"";s:12:""LotAreaUnits"";s:2:""SF"";s:10:""NumStories"";s:0:"""";s:8:""NumUnits"";s:1:""0"";s:5:""Tract"";s:0:"""";s:9:""LotNumber"";s:0:"""";s:9:""TaxAmount"";s:8:""12077.26"";s:15:""TaxRateCodeArea"";s:6:""15-008"";s:7:""TaxYear"";s:4:""2017"";s:18:""TotalAssessedValue"";s:6:""870053"";s:12:""AssessedYear"";s:4:""2016"";s:19:""AnnivRecordingMonth"";s:1:""3"";s:24:""AssessedImprovementValue"";s:6:""445635"";s:22:""AssessedImprovePercent"";s:12:""0.5121929354"";s:17:""ASSESSEDLandValue"";s:6:""424418"";}"	"3505 Cadillac Ave"	92626	-117.932082	33.695154	"publish"	1	"Measure-x-ommercial-building4"
5	"Measure-x Commercial Building"	"Industrial (General)"	"http://listed420.com/update/wp-content/uploads/2018/01/default_image.jpg"	"INDUSTRIAL"	"For Sale"	"Costa Mesa"	"California"	4800	"Sq Ft"	1982	5700000	1	"3505 Cadillac Ave, Costa Mesa, CA 92626, USA"	"33.69595,-117.9315,14"	"US"	"enable"	"a:18:{s:11:""PUnitNumber"";s:4:""M101"";s:9:""PUnitType"";s:0:"""";s:12:""OwnerName(s)"";s:21:""3505 Cadillac Ave Llc"";s:7:""LotArea"";s:4:""2475"";s:12:""LotAreaUnits"";s:2:""SF"";s:10:""NumStories"";s:1:""2"";s:8:""NumUnits"";s:1:""0"";s:5:""Tract"";s:0:"""";s:9:""LotNumber"";s:0:"""";s:9:""TaxAmount"";s:8:""10532.16"";s:15:""TaxRateCodeArea"";s:6:""15-008"";s:7:""TaxYear"";s:4:""2017"";s:18:""TotalAssessedValue"";s:6:""828444"";s:12:""AssessedYear"";s:4:""2016"";s:19:""AnnivRecordingMonth"";s:1:""5"";s:24:""AssessedImprovementValue"";s:6:""626409"";s:22:""AssessedImprovePercent"";s:12:""0.7561271492"";s:17:""ASSESSEDLandValue"";s:6:""202035"";}"	"3505 Cadillac Ave"	92626	-117.931496	33.69595	"publish"	1	"Measure-x-ommercial-building5"
6	"Measure-x Commercial Building"	"Industrial (General)"	"http://listed420.com/update/wp-content/uploads/2018/01/default_image.jpg"	"INDUSTRIAL"	"For Sale"	"Costa Mesa"	"California"	4400	"Sq Ft"	1982	5700000	1	"3505 Cadillac Ave, Costa Mesa, CA 92626, USA"	"33.696014,-117.93166,14"	"US"	"enable"	"a:18:{s:11:""PUnitNumber"";s:4:""M102"";s:9:""PUnitType"";s:0:"""";s:12:""OwnerName(s)"";s:21:""3505 Cadillac Ave Llc"";s:7:""LotArea"";s:4:""2208"";s:12:""LotAreaUnits"";s:2:""SF"";s:10:""NumStories"";s:1:""2"";s:8:""NumUnits"";s:1:""0"";s:5:""Tract"";s:0:"""";s:9:""LotNumber"";s:0:"""";s:9:""TaxAmount"";s:7:""9655.96"";s:15:""TaxRateCodeArea"";s:6:""15-008"";s:7:""TaxYear"";s:4:""2017"";s:18:""TotalAssessedValue"";s:6:""759407"";s:12:""AssessedYear"";s:4:""2016"";s:19:""AnnivRecordingMonth"";s:1:""5"";s:24:""AssessedImprovementValue"";s:6:""536052"";s:22:""AssessedImprovePercent"";s:12:""0.7058823529"";s:17:""ASSESSEDLandValue"";s:6:""223355"";}"	"3505 Cadillac Ave"	92626	-117.931661	33.696014	"publish"	1	"Measure-x-ommercial-building6"
7	"Measure-x Commercial Building"	"Industrial (General)"	"http://listed420.com/update/wp-content/uploads/2018/01/default_image.jpg"	"INDUSTRIAL"	"For Sale"	"Costa Mesa"	"California"	4258	"Sq Ft"	1982	5700000	1	"3505 Cadillac Ave, Costa Mesa, CA 92626, USA"	"33.696059,-117.93182,14"	"US"	"enable"	"a:18:{s:11:""PUnitNumber"";s:4:""M103"";s:9:""PUnitType"";s:0:"""";s:12:""OwnerName(s)"";s:21:""3505 Cadillac Ave Llc"";s:7:""LotArea"";s:4:""2215"";s:12:""LotAreaUnits"";s:2:""SF"";s:10:""NumStories"";s:1:""2"";s:8:""NumUnits"";s:1:""0"";s:5:""Tract"";s:0:"""";s:9:""LotNumber"";s:0:"""";s:9:""TaxAmount"";s:7:""9351.88"";s:15:""TaxRateCodeArea"";s:6:""15-008"";s:7:""TaxYear"";s:4:""2017"";s:18:""TotalAssessedValue"";s:6:""734898"";s:12:""AssessedYear"";s:4:""2016"";s:19:""AnnivRecordingMonth"";s:1:""5"";s:24:""AssessedImprovementValue"";s:6:""551138"";s:22:""AssessedImprovePercent"";s:11:""0.749951694"";s:17:""ASSESSEDLandValue"";s:6:""183760"";}"	"3505 Cadillac Ave"	92626	-117.931815	33.696059	"publish"	1	"Measure-x-ommercial-building7"
8	"Measure-x Commercial Building"	"Industrial (General)"	"http://listed420.com/update/wp-content/uploads/2018/01/default_image.jpg"	"IND, MISC USES"	"For Sale"	"Costa Mesa"	"California"	4734	"Sq Ft"	1982	5700000	1	"3505 Cadillac Ave, Costa Mesa, CA 92626, USA"	"33.695946,-117.93189,14"	"US"	"enable"	"a:18:{s:11:""PUnitNumber"";s:4:""M104"";s:9:""PUnitType"";s:0:"""";s:12:""OwnerName(s)"";s:21:""3505 Cadillac Ave Llc"";s:7:""LotArea"";s:4:""2354"";s:12:""LotAreaUnits"";s:2:""SF"";s:10:""NumStories"";s:1:""2"";s:8:""NumUnits"";s:1:""0"";s:5:""Tract"";s:0:"""";s:9:""LotNumber"";s:0:"""";s:9:""TaxAmount"";s:7:""10367.8"";s:15:""TaxRateCodeArea"";s:6:""15-008"";s:7:""TaxYear"";s:4:""2017"";s:18:""TotalAssessedValue"";s:6:""816017"";s:12:""AssessedYear"";s:4:""2016"";s:19:""AnnivRecordingMonth"";s:1:""5"";s:24:""AssessedImprovementValue"";s:6:""618043"";s:22:""AssessedImprovePercent"";s:12:""0.7573898583"";s:17:""ASSESSEDLandValue"";s:6:""197974"";}"	"3505 Cadillac Ave"	92626	-117.931887	33.695946	"publish"	1	"Measure-x-ommercial-building8"
9	"Measure-x Commercial Building"	"Condominiums (Industrial)"	"http://listed420.com/update/wp-content/uploads/2018/01/default_image.jpg"	"INDUSTRIAL CONDO"	"For Sale"	"Costa Mesa"	"California"	6132	"Sq Ft"	1982	620000	1	"3505 Cadillac Ave, Costa Mesa, CA 92626, USA"	"33.696322,-117.93242,14"	"US"	"enable"	"a:18:{s:11:""PUnitNumber"";s:2:""K1"";s:9:""PUnitType"";s:0:"""";s:12:""OwnerName(s)"";s:28:""3505 Cadillac Building K Llc"";s:7:""LotArea"";s:4:""6005"";s:12:""LotAreaUnits"";s:2:""SF"";s:10:""NumStories"";s:1:""1"";s:8:""NumUnits"";s:1:""0"";s:5:""Tract"";s:0:"""";s:9:""LotNumber"";s:0:"""";s:9:""TaxAmount"";s:8:""12889.28"";s:15:""TaxRateCodeArea"";s:6:""15-008"";s:7:""TaxYear"";s:4:""2017"";s:18:""TotalAssessedValue"";s:7:""1045707"";s:12:""AssessedYear"";s:4:""2016"";s:19:""AnnivRecordingMonth"";s:2:""10"";s:24:""AssessedImprovementValue"";s:6:""624378"";s:22:""AssessedImprovePercent"";s:12:""0.5970869469"";s:17:""ASSESSEDLandValue"";s:6:""421329"";}"	"3505 Cadillac Ave"	92626	-117.932423	33.696322	"publish"	1	"Measure-x-ommercial-building9"
10	"Measure-x Commercial Building"	"Condominiums (Industrial)"	"http://listed420.com/update/wp-content/uploads/2018/01/default_image.jpg"	"INDUSTRIAL CONDO"	"For Sale"	"Costa Mesa"	"California"	5840	"Sq Ft"	1982	2000000	1	"3505 Cadillac Ave, Costa Mesa, CA 92626, USA"	"33.696212,-117.93219,14"	"US"	"enable"	"a:18:{s:11:""PUnitNumber"";s:2:""K2"";s:9:""PUnitType"";s:0:"""";s:12:""OwnerName(s)"";s:28:""3505 Cadillac Building K Llc"";s:7:""LotArea"";s:4:""5535"";s:12:""LotAreaUnits"";s:2:""SF"";s:10:""NumStories"";s:1:""1"";s:8:""NumUnits"";s:1:""0"";s:5:""Tract"";s:0:"""";s:9:""LotNumber"";s:0:"""";s:9:""TaxAmount"";s:5:""12124"";s:15:""TaxRateCodeArea"";s:6:""15-008"";s:7:""TaxYear"";s:4:""2017"";s:18:""TotalAssessedValue"";s:6:""984792"";s:12:""AssessedYear"";s:4:""2016"";s:19:""AnnivRecordingMonth"";s:2:""10"";s:24:""AssessedImprovementValue"";s:6:""588845"";s:22:""AssessedImprovePercent"";s:12:""0.5979384479"";s:17:""ASSESSEDLandValue"";s:6:""395947"";}"	"3505 Cadillac Ave"	92626	-117.932186	33.696212	"publish"	1	"Measure-x-ommercial-building10"
